Year,Month,Mean Wind Speed (mi/hr),Max Wind Speed (mi/hr),Windy Days
2008,Jun,14.05,26.37,5
2008,Jul,13.13,25.23,2
2008,Aug,14.23,26.79,9
2008,Sep,11.36,24.42,1
2008,Oct,17.05,32.37,10
2008,Nov,18.64,30.8,13
2008,Dec,18.3,28.87,12
2009,Jan,20.72,35.47,16
2009,Feb,14.62,25.53,6
2009,Mar,17.23,31.66,7
2009,Apr,14.83,32.91,7
2009,May,15.23,26.73,8
2009,Jun,12.84,24.87,4
2009,Jul,10.1,17.7,0
2009,Aug,12.02,23.02,1
2009,Sep,14.07,25.55,4
2009,Oct,16.67,32.34,9
2009,Nov,22.28,34.99,18
2009,Dec,14.84,25.2,8
2010,Jan,13.96,33.67,5
2010,Feb,11.06,21.29,1
2010,Mar,15.84,29.62,9
2010,Apr,16.96,34.16,9
2010,May,13.79,32.39,5
2010,Jun,13.69,28.15,3
2010,Jul,12.39,27.65,3
2010,Aug,12.42,22.19,2
2010,Sep,14.69,24.91,6
2010,Oct,14.94,23.17,6
2010,Nov,17.27,29.97,11
2010,Dec,15.4,28.98,9
2011,Jan,20.94,31.24,17
2011,Feb,19.96,38.11,14
2011,Mar,16.2,29.35,9
2011,Apr,16.09,28.13,9
2011,May,15.21,29.86,7
2011,Jun,15.59,27.47,10
2011,Jul,14.09,27.46,5
2011,Aug,11.55,24.13,1
2011,Sep,14.07,28.76,8
2011,Oct,16.03,27.3,8
2011,Nov,22.01,39.63,18
2011,Dec,20.86,30.9,15
2012,Jan,22.2,38.84,22
2012,Feb,14.72,30.14,3
2012,Mar,21.1,32.04,17
2012,Apr,15.61,27.67,7
2012,May,16.24,28.7,10
2012,Jun,17.92,31.84,11
2012,Jul,10.97,26.47,2
2012,Aug,10.62,19.22,0
2012,Sep,11.92,25.05,2
2012,Oct,16.27,30.33,9
2012,Nov,18.57,28.94,10
2012,Dec,17.48,29.94,9
2013,Jan,19.46,29.7,13
2013,Feb,17.91,30.05,12
2013,Mar,15.87,30.91,8
2013,Apr,17.17,31.45,10
2013,May,13.15,28.96,5
2013,Jun,12.26,22.66,3
2013,Jul,10.82,20.75,1
2013,Aug,10.31,19.65,0
2013,Sep,13.58,31.38,5
2013,Oct,14.55,30.54,7
2013,Nov,15.43,28.06,6
2013,Dec,20.18,33.99,17
2014,Jan,19.04,37.18,13
2014,Feb,17.07,30.23,10
2014,Mar,17.71,31.13,13
2014,Apr,16.35,27.61,8
2014,May,12.15,19.9,0
2014,Jun,12.57,25.54,5
2014,Jul,11.47,28.74,3
2014,Aug,10.9,20.27,1
2014,Sep,12.74,23.2,2
2014,Oct,17.21,30.41,12
2014,Nov,18.03,31.23,15
2014,Dec,15.44,25.18,7
2015,Jan,17.44,27.27,13
2015,Feb,15.07,31.68,6
2015,Mar,17.32,25.49,10
2015,Apr,13.6,29.21,3
2015,May,11.64,23.84,2
2015,Jun,11.08,21.79,1
2015,Jul,12.82,19.9,0
2015,Aug,12.45,27.72,3
2015,Sep,14.41,27.24,5
2015,Oct,14.25,34.77,6
2015,Nov,18.05,36.49,10
2015,Dec,16.09,33.21,9
2016,Jan,15.13,29.61,8
2016,Feb,18.96,32.38,15
2016,Mar,15.73,27.4,6
2016,Apr,13.04,31.3,4
